cluster,carburant,segment,age_class,km_class,annonces_publiees,ventes,opt_ventes,ecart_ventes,ventes/annonces,opt_ventes/annonces,ecart_ventes/annonces,BP/B2C_min,BP/B2C,BP/B2C_max,opt_BP/B2C_min,opt_BP/B2C,opt_BP/B2C_max,ecart_BP/B2C,CP/B2C_min,CP/B2C,CP/B2C_max,opt_CP/B2C_min,opt_CP/B2C,opt_CP/B2C_max,ecart_CP/B2C,commission,opt_commission,ecart_commission,delai_vente,opt_delai_vente,ecart_delai_vente,gain_total,opt_gain_total,ecart_gain_total,opt_size,final_BP/B2C_min,final_BP/B2C,final_BP/B2C_max,final_CP/B2C_min,final_CP/B2C,final_CP/B2C_max,final_ventes/annonces,final_commission,final_delai_vente,final_ventes,final_gain_total,reference,methode,final_ecart_BP/B2C_min,final_ecart_BP/B2C,final_ecart_BP/B2C_max,final_ecart_CP/B2C_min,final_ecart_CP/B2C,final_ecart_CP/B2C_max,final_ecart_ventes/annonces,final_ecart_commission,final_ecart_delai_vente,final_ecart_ventes,final_ecart_gain_total
DIESEL_PETIT_2_normale,DIESEL,PETIT,"2,00",normale,"84,00","31,00","36,96","5,96","0,37","0,44","0,07","0,84","0,89","0,93","0,85","0,87","0,90","-0,01","0,92","0,95","0,97","0,93","0,95","0,96","0,00","922,03","965,09","43,06","49,39","41,36","-8,02","28583,00","35669,76","7086,76","25,00","0,84","0,89","0,93","0,92","0,95","0,97","0,37","922,03","49,39","31,00","28583,00",DIESEL_PETIT_2_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_2_souskm,DIESEL,PETIT,"2,00",souskm,"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_2_surkm,DIESEL,PETIT,"2,00",surkm,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_27_normale,DIESEL,PETIT,"27,00",normale,"814,00","371,00","403,55","32,55","0,46","0,50","0,04","0,83","0,88","0,93","0,85","0,88","0,90","0,00","0,92","0,95","0,97","0,93","0,95","0,97","0,00","901,70","926,40","24,70","39,73","34,43","-5,30","334531,00","373850,19","39319,19","236,00","0,85","0,88","0,90","0,93","0,95","0,97","0,50","926,40","34,43","403,55","373850,19",DIESEL_PETIT_27_normale,optimisation cluster,"0,02","0,00","-0,03","0,00","0,00","0,00","0,04","24,70","-5,30","32,55","39319,19"
DIESEL_PETIT_27_souskm,DIESEL,PETIT,"27,00",souskm,"26,00","10,00","14,86","4,86","0,38","0,57","0,19","0,82","0,85","0,90","0,80","0,83","0,85","-0,02","0,88","0,91","0,93","0,86","0,88","0,88","-0,04","830,10","840,25","10,15","48,20","31,25","-16,95","8301,00","12483,71","4182,71","7,00","0,82","0,85","0,90","0,88","0,91","0,93","0,38","830,10","48,20","10,00","8301,00",DIESEL_PETIT_27_souskm,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_27_surkm,DIESEL,PETIT,"27,00",surkm,"3,00","1,00","0,00","0,00","0,33","0,00","0,00","0,88","0,95","0,99","0,00","0,00","0,00","0,00","1,27","1,27","1,27","0,00","0,00","0,00","0,00","990,00","0,00","0,00","85,00","0,00","0,00","990,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"-0,06","-0,06","-0,05","-0,33","-0,28","-0,24","0,17","-205,09","-48,25","416,00","326317,10"
DIESEL_PETIT_7_normale,DIESEL,PETIT,"7,00",normale,"832,00","417,00","437,39","20,39","0,50","0,53","0,03","0,82","0,88","0,94","0,85","0,87","0,90","-0,01","0,94","0,99","1,03","0,94","0,98","1,01","-0,01","784,91","820,49","35,58","36,75","33,36","-3,39","327307,10","358877,26","31570,16","175,00","0,85","0,87","0,90","0,94","0,98","1,01","0,53","820,49","33,36","437,39","358877,26",DIESEL_PETIT_7_normale,optimisation cluster,"0,03","-0,01","-0,04","0,00","-0,01","-0,02","0,03","35,58","-3,39","20,39","31570,16"
DIESEL_PETIT_7_souskm,DIESEL,PETIT,"7,00",souskm,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,88","0,94","0,94","0,99","1,03","0,50","784,91","36,75","417,00","327307,10",DIESEL_PETIT_7_normale,moyenne cluster reference,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_PETIT_7_surkm,DIESEL,PETIT,"7,00",surkm,"98,00","69,00","76,22","7,22","0,70","0,78","0,08","0,85","0,91","0,97","0,95","0,97","1,00","0,06","0,94","1,02","1,08","0,98","1,06","1,10","0,04","787,86","804,29","16,43","27,43","31,93","4,49","54362,00","61304,44","6942,44","18,00","0,85","0,91","0,97","0,94","1,02","1,08","0,70","787,86","27,43","69,00","54362,00",DIESEL_PETIT_7_surkm,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
DIESEL_GRAND_2_normale,DIESEL,GRAND,"2,00",normale,"15,00","5,00","6,43","1,43","0,33","0,43","0,10","0,86","0,91","0,94","0,85","0,87","0,90","-0,04","0,92","0,94","0,98","0,95","0,96","0,98","0,02","1137,40","1235,67","98,27","52,40","48,67","-3,73","5687,00","7943,57","2256,57","7,00","0,86","0,91","0,94","0,92","0,94","0,98","0,33","1137,40","52,40","5,00","5687,00",DIESEL_GRAND_2_normale,moyenne cluster,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
